fast_period,slow_period,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,final_value
5,25,0.2409496687627543,-20.960331184118562,0.08065399195362412,27,55.55555555555556,100240.94966876275
5,30,0.18601935088283789,-17.69817215778918,0.10654347323927386,23,52.17391304347826,100186.01935088284
5,35,0.15207349449001775,-18.4916834528453,0.10633022229260757,23,34.78260869565217,100152.07349449002
5,40,0.17563043817697327,-21.81546841385534,0.08199044595792719,20,40.0,100175.63043817697
5,45,0.19061008278773806,-19.613277399147297,0.09079387691742483,18,44.44444444444444,100190.61008278774
5,50,0.2213878723613452,-19.380197450314945,0.06974841939769177,18,38.88888888888889,100221.38787236135
5,55,0.19459602021673345,-18.134832563459472,0.07738941797610058,16,43.75,100194.59602021673
5,60,0.16536096510586504,-18.912275929352077,0.07730022217037853,16,43.75,100165.36096510587
6,25,0.24167450511810604,-17.458696048024375,0.09577800853653115,24,58.333333333333336,100241.6745051181
6,30,0.1972703356787388,-15.15433236450335,0.10770802364751575,22,54.54545454545454,100197.27033567874
6,35,0.12028509840910555,-15.422894566781158,0.13103846922751608,22,36.36363636363637,100120.2850984091
6,40,0.16760166265226145,-17.356403559871094,0.09907013227697542,19,42.10526315789473,100167.60166265226
6,45,0.19643835539351856,-17.01441936210564,0.08721396515220664,17,41.17647058823529,100196.43835539352
6,50,0.19943847352325975,-18.51322933042019,0.08084052423449804,18,44.44444444444444,100199.43847352326
6,55,0.18615546695566446,-18.83339144713871,0.07105274384242165,16,43.75,100186.15546695566
6,60,0.1745753625843499,-19.723766244548464,0.07163102745236227,16,43.75,100174.57536258435
7,25,0.21646336442757455,-17.952444082981305,0.09767504600063948,22,45.45454545454545,100216.46336442757
7,30,0.17680635929988056,-15.619979135690343,0.11787546978561338,21,42.857142857142854,100176.80635929988
7,35,0.12135552486084636,-14.771224719468492,0.13278478402038582,21,38.095238095238095,100121.35552486085
7,40,0.15134580517401627,-19.066999823852488,0.09545956044637224,19,47.368421052631575,100151.34580517402
7,45,0.17333780039324484,-17.963417453018007,0.09047428337623172,17,41.17647058823529,100173.33780039324
7,50,0.1764566072716407,-17.88632191626937,0.07259874176664144,16,37.5,100176.45660727164
7,55,0.17588045172239072,-17.944694232296513,0.07076404799746827,16,43.75,100175.88045172239
7,60,0.15330181576593896,-16.968637620767907,0.08267335497467795,16,43.75,100153.30181576594
8,25,0.23040416793966143,-17.984676673552595,0.08877867685796224,22,54.54545454545454,100230.40416793966
8,30,0.17556837890765745,-15.83898886815668,0.09832545062591685,20,45.0,100175.56837890766
8,35,0.14009930805294427,-13.552213049168651,0.14136632070709568,21,38.095238095238095,100140.09930805294
8,40,0.1326871150458319,-19.360009955946634,0.09490219467668257,18,44.44444444444444,100132.68711504583
8,45,0.1630105669168115,-16.982325229803784,0.09120197350113929,17,41.17647058823529,100163.01056691681
8,50,0.1837513664422877,-18.163512401265873,0.06726279671876535,16,43.75,100183.75136644229
8,55,0.15182725767912053,-16.227169384930846,0.08616737629056419,16,43.75,100151.82725767912
8,60,0.1853649209622381,-17.15460600923905,0.06661544226540758,15,46.666666666666664,100185.36492096224
9,25,0.21821576388001265,-18.489265952451746,0.08833437519537995,22,54.54545454545454,100218.21576388001
9,30,0.1647697976314521,-16.29336570514985,0.09895721018336638,20,45.0,100164.76979763145
9,35,0.18883448066665734,-16.187797934096604,0.08784017919675936,20,40.0,100188.83448066666
9,40,0.1668132102813397,-21.55233954475121,0.07244069988064915,18,44.44444444444444,100166.81321028134
9,45,0.15195159183829673,-20.15709565975292,0.07510171764781905,18,44.44444444444444,100151.9515918383
9,50,0.1600340431089571,-16.828725436977443,0.08048039386313612,16,37.5,100160.03404310896
9,55,0.14316120530758053,-18.748108727628136,0.07340915426934089,16,43.75,100143.16120530758
9,60,0.19111265024541355,-18.80029321696743,0.06010230094050408,15,53.333333333333336,100191.11265024541
10,25,0.21088688491676294,-19.718993610958865,0.07563209512139972,22,54.54545454545454,100210.88688491676
10,30,0.20171232376988338,-17.251171897241083,0.07625757686206963,21,47.61904761904761,100201.71232376988
10,35,0.2147700144706032,-18.751460486424552,0.06833751727873424,19,47.368421052631575,100214.7700144706
10,40,0.13015758730807284,-21.352952346621862,0.08532419666043962,18,38.88888888888889,100130.15758730807
10,45,0.13544002778606956,-20.08891012234655,0.08157065350251691,17,41.17647058823529,100135.44002778607
10,50,0.16092548155186523,-16.80335398472079,0.08098457368672085,16,37.5,100160.92548155187
10,55,0.16340575235459256,-21.15993633299482,0.055874219437033475,16,43.75,100163.40575235459
10,60,0.15889710581202235,-20.295159284032785,0.07693416771351383,15,53.333333333333336,100158.89710581202
11,25,0.19256550133839484,-18.917697849836795,0.0815138275426559,22,54.54545454545454,100192.5655013384
11,30,0.1881439807983843,-19.17571970357858,0.07116713193347088,20,45.0,100188.14398079838
11,35,0.18061893214882002,-19.09323484276805,0.0772008668408297,19,47.368421052631575,100180.61893214882
11,40,0.12055945749444072,-19.31039520701807,0.09613632061320022,17,35.294117647058826,100120.55945749444
11,45,0.13794637820091157,-17.40199357694807,0.08537381892147956,17,41.17647058823529,100137.94637820091
11,50,0.1543006303974107,-19.22637455870625,0.06670952885116485,15,46.666666666666664,100154.30063039741
11,55,0.1648524008787208,-20.92040215858673,0.05425276914586513,15,53.333333333333336,100164.85240087872
11,60,0.14529653841508844,-18.220775647152255,0.07123302546062794,15,40.0,100145.29653841509
12,25,0.22901200202193284,-21.38913302567434,0.07113366261991427,21,57.14285714285714,100229.01200202193
12,30,0.1776262394459045,-19.622996497297,0.06967622123854607,20,45.0,100177.6262394459
12,35,0.16719344597162852,-18.373067870267175,0.07930596997213869,17,52.94117647058824,100167.19344597163
12,40,0.14390954388202226,-16.708989950958248,0.09678421356729107,15,53.333333333333336,100143.90954388202
12,45,0.14401076890593686,-17.03865415952086,0.08070860422592813,15,46.666666666666664,100144.01076890594
12,50,0.10792116857782821,-19.661661261762642,0.10471812099269574,15,46.666666666666664,100107.92116857783
12,55,0.13238735874087434,-19.256066263314487,0.06976750411143158,15,46.666666666666664,100132.38735874087
12,60,0.11059482340846442,-14.96776910234062,0.09867969464226316,16,37.5,100110.59482340846
13,25,0.19551468842735628,-19.821585342050597,0.07904148533556414,21,57.14285714285714,100195.51468842736
13,30,0.16481698022580532,-20.16403025162254,0.07746139168072617,19,52.63157894736842,100164.8169802258
13,35,0.1476354640966747,-16.16590793650286,0.10380508404744974,16,56.25,100147.63546409667
13,40,0.1197175693106983,-15.259108365921037,0.11939928808333984,15,46.666666666666664,100119.7175693107
13,45,0.11024033273385431,-16.733589197360626,0.09529902820366583,14,50.0,100110.24033273385
13,50,0.0880058604117512,-19.502303302092887,0.09271785821594086,15,40.0,100088.00586041175
13,55,0.11153926638985286,-18.009788379464148,0.09561513371736055,15,40.0,100111.53926638985
13,60,0.0932535004727688,-15.098076726912275,0.10602647088953732,15,40.0,100093.25350047277
14,25,0.18336022174547542,-25.55125834998467,0.06834323025582459,21,61.904761904761905,100183.36022174548
14,30,0.1850512447345827,-19.337253774552323,0.0733152190936885,19,57.89473684210527,100185.05124473458
14,35,0.1628195793312334,-15.694235073557298,0.10015937094856343,17,52.94117647058824,100162.81957933123
14,40,0.11398671159899094,-17.685198903008693,0.1105274823778587,15,40.0,100113.98671159899
14,45,0.07522020684629388,-17.313315271294215,0.10579242247518623,16,37.5,100075.2202068463
14,50,0.1043715288702515,-20.732622806790463,0.07686243438407982,15,46.666666666666664,100104.37152887025
14,55,0.07838627048928173,-17.02723689570682,0.09564678683094861,15,40.0,100078.38627048928
14,60,0.1054184494742367,-14.592441388282055,0.10578147320837539,14,35.714285714285715,100105.41844947424
15,25,0.19755736588817674,-23.624848265211945,0.08304172403564015,19,57.89473684210527,100197.55736588818
15,30,0.1653678809209814,-18.095552230491194,0.08966934548932884,19,57.89473684210527,100165.36788092098
15,35,0.1528672588855843,-16.72966563293497,0.08881624634017252,17,58.82352941176471,100152.86725888558
15,40,0.08691594701899158,-15.57869544607601,0.12996073978967296,16,37.5,100086.91594701899
15,45,0.10764419732362147,-14.74201731435276,0.12382437696878543,16,50.0,100107.64419732362
15,50,0.10228999651028425,-17.296975657808222,0.08836725154676858,15,40.0,100102.28999651028
15,55,0.11634861079184337,-16.183881000320625,0.09539980843322848,13,38.46153846153847,100116.34861079184
15,60,0.12938522715122963,-13.872398656693282,0.11611887256134504,14,50.0,100129.38522715123
16,25,0.18659872368162905,-20.346193774097326,0.1015400330151893,21,61.904761904761905,100186.59872368163
16,30,0.17429820201224358,-15.813594848739363,0.09969299694485004,19,68.42105263157895,100174.29820201224
16,35,0.11305940717835619,-16.664300046810176,0.10365431881811234,17,47.05882352941176,100113.05940717836
16,40,0.11524887270806357,-18.7792967976089,0.09835879491818607,14,50.0,100115.24887270806
16,45,0.1295942071271129,-16.965316500812282,0.09809050172179695,14,50.0,100129.59420712711
16,50,0.1025692654928571,-15.71192174779804,0.10402756311936741,13,46.15384615384615,100102.56926549286
16,55,0.10449235310631048,-16.72814203719733,0.09945794941642674,13,38.46153846153847,100104.49235310631
16,60,0.10042692252984853,-15.040676790703742,0.11732899258133646,15,33.33333333333333,100100.42692252985
17,25,0.1769474953890167,-21.47811369384417,0.1004253965037207,22,63.63636363636363,100176.94749538902
17,30,0.16230562941188692,-16.259075748955173,0.098976743451864,20,60.0,100162.30562941189
17,35,0.11215020425507101,-16.77650039112368,0.11684859061907041,17,47.05882352941176,100112.15020425507
17,40,0.10274684912408702,-16.786988388799866,0.11245071834211537,15,46.666666666666664,100102.74684912409
17,45,0.13735698649076222,-17.063074075539568,0.09516673982986877,14,50.0,100137.35698649076
17,50,0.11812442022135657,-15.296780591178893,0.10813767968281067,13,38.46153846153847,100118.12442022136
17,55,0.10423519507037418,-15.099944458315054,0.11491701028969939,13,46.15384615384615,100104.23519507037
17,60,0.12240616776540991,-15.037012311518247,0.11585323402307689,15,40.0,100122.40616776541
18,25,0.22004520452460563,-25.494141640345312,0.07355181726977941,23,65.21739130434783,100220.0452045246
18,30,0.15479249621881172,-17.590014229717234,0.08741428833408679,20,55.00000000000001,100154.79249621881
18,35,0.12287551181059098,-18.273298748003466,0.09989740234529594,17,47.05882352941176,100122.87551181059
18,40,0.10968612267279242,-16.369995445971277,0.11136899188755688,15,46.666666666666664,100109.68612267279
18,45,0.15884501044817445,-16.692606529264804,0.08972146834458367,14,50.0,100158.84501044817
18,50,0.11465994228463387,-14.242303224079707,0.11718522507691516,12,41.66666666666667,100114.65994228463
