fast_period,slow_period,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,final_value
5,25,0.4516001957397966,-15.846958432787437,0.10552971668032554,30,33.33333333333333,100451.6001957398
5,30,0.40822472325136183,-14.2703654944293,0.15060819905857223,26,38.46153846153847,100408.22472325136
5,35,0.40645647457121226,-12.470703668644282,0.12958786723204319,21,47.61904761904761,100406.45647457121
5,40,0.3447105209083093,-12.631896910698126,0.12143819763763193,21,42.857142857142854,100344.71052090831
5,45,0.30007569154737573,-16.904544775649224,0.12895235631649987,17,41.17647058823529,100300.07569154738
5,50,0.2934668904762366,-18.703828420544003,0.16227023819546788,17,47.05882352941176,100293.46689047624
5,55,0.2507147111549566,-17.087702837937126,0.1826756333877813,19,42.10526315789473,100250.71471115496
5,60,0.1892831950111431,-14.411964369423096,0.22808248333186282,19,36.84210526315789,100189.28319501114
6,25,0.49792046641542403,-15.84847019895126,0.1107331673752976,27,40.74074074074074,100497.92046641542
6,30,0.36033402744293563,-11.421001095116884,0.176665967162255,23,43.47826086956522,100360.33402744294
6,35,0.3649935157851432,-11.585501099254955,0.13177769995915425,21,42.857142857142854,100364.99351578514
6,40,0.3724723934058711,-14.933420610407365,0.13035880614758225,19,42.10526315789473,100372.47239340587
6,45,0.24310782579421356,-14.195912979925616,0.15769910056614814,18,38.88888888888889,100243.10782579421
6,50,0.2828135239906405,-18.008384359583875,0.17399009428675008,17,47.05882352941176,100282.81352399064
6,55,0.23281077046584686,-15.104026164496402,0.1936571610190382,17,41.17647058823529,100232.81077046585
6,60,0.17743940935135472,-13.269050739631878,0.23906343496460059,18,33.33333333333333,100177.43940935135
7,25,0.4590780934905779,-16.832494059636677,0.1200116906919654,27,44.44444444444444,100459.07809349058
7,30,0.3724879272384424,-13.252800509807114,0.16757239455851003,22,50.0,100372.48792723844
7,35,0.3433571519049874,-10.401622048372374,0.1575739995468887,20,45.0,100343.35715190499
7,40,0.32351548280713904,-14.706649398114799,0.1444920579238213,17,41.17647058823529,100323.51548280714
7,45,0.24758234923171404,-14.321493683454012,0.18949132741651692,17,41.17647058823529,100247.58234923171
7,50,0.25110893050763117,-12.51530570710255,0.19250841389973355,17,47.05882352941176,100251.10893050763
7,55,0.16631860757064715,-13.191134070135174,0.2536001506404198,17,35.294117647058826,100166.31860757065
7,60,0.19798331137471542,-12.993442275615696,0.234666780371077,18,33.33333333333333,100197.98331137472
8,25,0.43336919332880647,-13.061380437399535,0.1316383261128189,24,50.0,100433.3691933288
8,30,0.3450310666732694,-11.108527109326435,0.17810476262965355,22,40.909090909090914,100345.03106667327
8,35,0.29459449872204274,-8.992296025897014,0.1986505374837547,20,35.0,100294.59449872204
8,40,0.25874476526261425,-13.40517523607506,0.17090908294646354,17,41.17647058823529,100258.74476526261
8,45,0.23419367202374267,-13.4065012074538,0.19513480183179704,16,43.75,100234.19367202374
8,50,0.24974555895612865,-12.034324779221922,0.19475042016357608,16,50.0,100249.74555895613
8,55,0.1348167585563642,-11.902477151645478,0.2817154254207878,17,41.17647058823529,100134.81675855636
8,60,0.12607957241442638,-11.664385348932848,0.2962797182884652,18,27.77777777777778,100126.07957241443
9,25,0.4223698020629672,-17.6152813435559,0.14454244662328117,26,50.0,100422.36980206297
9,30,0.26793003154751205,-10.263783032176358,0.19880513876199254,22,36.36363636363637,100267.93003154751
9,35,0.2537494844093162,-8.930263829925803,0.2245586429343741,20,35.0,100253.74948440932
9,40,0.22242354259113198,-12.475549492776217,0.18703303161664933,18,38.88888888888889,100222.42354259113
9,45,0.207485468990315,-13.69884094783084,0.19223032312350288,17,41.17647058823529,100207.48546899031
9,50,0.24268181660461416,-11.273714782337553,0.19508056979222016,16,50.0,100242.68181660461
9,55,0.1183462339783,-10.038423622481416,0.31829231585573375,17,35.294117647058826,100118.3462339783
9,60,0.10554381019592983,-11.261300500764575,0.3177290251796593,17,29.411764705882355,100105.54381019593
10,25,0.38071154015346836,-10.655672514823218,0.16656689268869582,30,46.666666666666664,100380.71154015347
10,30,0.2598285762214364,-9.939906084325631,0.198822360242788,22,45.45454545454545,100259.82857622144
10,35,0.22557921614457152,-10.078323912390564,0.2207338362588732,20,45.0,100225.57921614457
10,40,0.18188598919298965,-11.82778230906065,0.21379837968129412,17,41.17647058823529,100181.88598919299
10,45,0.1919048350982921,-13.013280826350861,0.2137895811631238,16,43.75,100191.90483509829
10,50,0.1743170830993622,-11.4501611108812,0.23457855062791624,15,46.666666666666664,100174.31708309936
10,55,0.0841447056808538,-10.018819836493552,0.3155659031736282,16,31.25,100084.14470568085
10,60,0.11804143003845821,-10.05334068511128,0.31546114583318413,16,37.5,100118.04143003846
11,25,0.345612170715307,-9.909396470761008,0.16716545384966822,26,53.84615384615385,100345.6121707153
11,30,0.21550724585344141,-9.410057824516693,0.23630292300380037,22,36.36363636363637,100215.50724585344
11,35,0.19595664139177826,-10.501675730200116,0.2388534935729174,21,42.857142857142854,100195.95664139178
11,40,0.20138005685043756,-11.529128405829551,0.222407297219315,17,41.17647058823529,100201.38005685044
11,45,0.2183038211670064,-14.529702984179591,0.18295769533696746,15,46.666666666666664,100218.303821167
11,50,0.18788513608551874,-12.033905641865285,0.22696957580026064,15,46.666666666666664,100187.88513608552
11,55,0.1319031370697485,-9.62908971958276,0.2920597058080876,15,46.666666666666664,100131.90313706975
11,60,0.10038533559418283,-8.626069074201466,0.3521210076003606,16,37.5,100100.38533559418
12,25,0.352151843307438,-10.373224438026941,0.15542533899961253,26,50.0,100352.15184330744
12,30,0.2008486797981459,-10.328520679282311,0.22352570088941176,21,42.857142857142854,100200.84867979815
12,35,0.21981979294205667,-10.651501929019295,0.2054587252543151,21,38.095238095238095,100219.81979294206
12,40,0.17395611331178223,-10.989623626689347,0.22759115056763315,16,43.75,100173.95611331178
12,45,0.2009469571456866,-12.21466173186159,0.2050528510544791,15,46.666666666666664,100200.94695714569
12,50,0.11522637582400057,-10.86918314603653,0.2822444889917992,14,42.857142857142854,100115.226375824
12,55,0.106510396362326,-10.154433010984786,0.29505867293758475,15,46.666666666666664,100106.51039636233
12,60,0.08869781007386336,-8.221072059366001,0.3641499814957803,15,40.0,100088.69781007386
13,25,0.2880062797393912,-9.50068776074953,0.1865265506759943,24,45.83333333333333,100288.00627973939
13,30,0.19354862082291222,-11.11221473435607,0.21146394016683273,21,47.61904761904761,100193.54862082291
13,35,0.22890775735858188,-11.897931195821737,0.1772184270189084,20,40.0,100228.90775735858
13,40,0.18088747448733192,-10.809678605012584,0.23763401635590833,15,46.666666666666664,100180.88747448733
13,45,0.2149491572113184,-12.712419667733961,0.18721577366431458,14,50.0,100214.94915721132
13,50,0.15319405010988704,-10.021962857362924,0.2746771878689893,14,50.0,100153.19405010989
13,55,0.11926262461471196,-8.607602817833795,0.3339718996564486,14,42.857142857142854,100119.26262461471
13,60,0.12101869562915818,-7.941440028077565,0.3546109848663723,16,43.75,100121.01869562916
14,25,0.3199469051666238,-11.300865604817703,0.15353716788239727,25,56.00000000000001,100319.94690516662
14,30,0.16651203438187076,-12.463159645577033,0.21844970923281876,22,45.45454545454545,100166.51203438187
14,35,0.24097874236678765,-13.790981646415776,0.14787797048704746,20,40.0,100240.97874236679
14,40,0.24064913427739523,-12.789053605625446,0.1854799347618219,15,46.666666666666664,100240.6491342774
14,45,0.19125146321106878,-11.960233046450707,0.2208056125926239,14,50.0,100191.25146321107
14,50,0.14551837434008486,-9.746739914667046,0.2819182978237576,14,50.0,100145.51837434008
14,55,0.1253004712944239,-8.631788711877203,0.3287307211162365,13,38.46153846153847,100125.30047129442
14,60,0.10252761188890144,-8.02880729994673,0.35100361536660035,14,35.714285714285715,100102.5276118889
15,25,0.3246706932830566,-12.778797058113163,0.12033749596721487,25,60.0,100324.67069328306
15,30,0.27137073781203075,-14.841895120542661,0.14306878586643673,23,47.82608695652174,100271.37073781203
15,35,0.2050020671806269,-11.930521311452601,0.18961761026282284,20,50.0,100205.00206718063
15,40,0.20483807721712216,-13.178402203356722,0.19149725961646735,15,46.666666666666664,100204.83807721712
15,45,0.21088457598495003,-10.717583520967963,0.23540169193522195,14,57.14285714285714,100210.88457598495
15,50,0.09840113634875161,-8.597038506963909,0.3360740314288903,13,38.46153846153847,100098.40113634875
15,55,0.11394698752975091,-8.364217207850006,0.32160334113877537,13,38.46153846153847,100113.94698752975
15,60,0.11073234327317914,-8.634225542880872,0.3376476066508399,14,35.714285714285715,100110.73234327318
16,25,0.3074239588851778,-13.532893137771637,0.11781897361163557,27,55.55555555555556,100307.42395888518
16,30,0.21091027824781486,-11.208976481928568,0.16558669376913743,22,45.45454545454545,100210.91027824781
16,35,0.1526704053611902,-10.929825501116307,0.22779568173227396,19,42.10526315789473,100152.67040536119
16,40,0.2553193469772523,-12.677623844392356,0.2062278699034517,15,53.333333333333336,100255.31934697725
16,45,0.1837054835014569,-10.726838042631131,0.23953328968291052,15,53.333333333333336,100183.70548350146
16,50,0.10471083852769515,-8.836314853480873,0.32857173467237755,14,42.857142857142854,100104.7108385277
16,55,0.07680628744122805,-8.433348102730735,0.3438322530576708,13,38.46153846153847,100076.80628744123
16,60,0.15097342295455746,-8.625519608178783,0.2981023428318502,14,35.714285714285715,100150.97342295456
17,25,0.238745785682695,-10.830410428736657,0.1619134042287602,28,53.57142857142857,100238.7457856827
17,30,0.18421048605727264,-10.526006555910424,0.17426667176226648,21,52.38095238095239,100184.21048605727
17,35,0.14716717434310703,-11.924717703082655,0.22421269022033877,19,42.10526315789473,100147.1671743431
17,40,0.19970649970247178,-10.123401240788493,0.250645338553748,15,53.333333333333336,100199.70649970247
17,45,0.13586334759143937,-10.680046582601156,0.27293179173238347,14,57.14285714285714,100135.86334759144
17,50,0.12881290822982555,-9.578766839709532,0.3021585067876014,13,46.15384615384615,100128.81290822983
17,55,0.11650917699810816,-8.71281659807321,0.30951890028989504,13,38.46153846153847,100116.50917699811
17,60,0.06491462873076671,-7.462536290105876,0.35567308445184315,13,38.46153846153847,100064.91462873077
18,25,0.2669241516876209,-12.127261108509229,0.13787259788822512,28,57.14285714285714,100266.92415168762
18,30,0.17478126958080975,-10.854694773213705,0.17846030365600926,22,50.0,100174.78126958081
